entity:ebov_id	sra_accession	biosample_accession
G5723.1	SRR1972917	SAMN03254208
G5731.1	SRR1972918	SAMN03254209
G5732.1	SRR1972919	SAMN03254210
G5735.2	SRR1972920	SAMN03254213
